estimation_method,time_fit,size,empirical_noise_variance,estimated_noise_variance
star_nn,0.03103017807006836,256,0.9811388184955219,0.9494449549625745
star_nn,0.02988290786743164,256,0.9683875185542734,0.9914230126436263
star_nn,0.030260086059570312,256,1.107697079422728,0.9376941772150288
star_nn,0.030700206756591797,256,1.1527406840895622,1.0487593659012997
star_nn,0.02977776527404785,256,1.0261896663722943,0.9944853688883256
star_nn,0.14153194427490234,1024,0.9625262936128459,0.9867829069889236
star_nn,0.16798806190490723,1024,0.8981011591373904,0.9154836113521004
star_nn,0.14271807670593262,1024,0.9517562666686286,0.958188585733699
star_nn,0.1428830623626709,1024,1.0023632976545516,1.0244141999374101
star_nn,0.14152073860168457,1024,1.0276285261877947,1.0094489183875957
star_nn,0.8024158477783203,4096,0.9888905620755366,1.0057971897146691
star_nn,0.7983670234680176,4096,1.0301874820532824,1.054390204516914
star_nn,0.7887570858001709,4096,0.9819633434583361,1.0242024195872148
star_nn,0.7976887226104736,4096,0.9997121001090399,1.0406920546113263
star_nn,0.8056221008300781,4096,1.0374587481296695,1.0677272178572954
star_nn,5.817720174789429,16384,1.0145015439574294,1.0482001061242923
star_nn,5.963872909545898,16384,1.0150209060794784,1.054682246638134
star_nn,5.8175458908081055,16384,0.9938577401297713,1.0164596747510763
star_nn,5.860301733016968,16384,1.0022230310546516,1.0294913639529437
star_nn,5.676533937454224,16384,1.003490451351943,1.031928190629361
star_nn,56.677101850509644,65536,1.012531676303996,1.0549396232119779
star_nn,45.658743143081665,65536,1.0035051034898683,1.0360496179918406
star_nn,45.54094696044922,65536,1.0077466133587658,1.0430630233686673
star_nn,57.01203417778015,65536,1.0015656260679444,1.0396579912545871
star_nn,56.755500078201294,65536,1.0037605567911059,1.0386191851465414
