estimation_method,fit_method,est_errors,row,col,time_impute,time_fit,size
usvt,lbo,0.456584839812116,6,20,5.197043370718908e-05,0,32
usvt,lbo,0.6781296236778672,10,19,5.197043370718908e-05,0,32
usvt,lbo,0.07892103871420575,9,30,5.197043370718908e-05,0,32
usvt,lbo,0.6155708130247919,5,12,5.197043370718908e-05,0,32
usvt,lbo,0.8221449206601497,13,18,5.197043370718908e-05,0,32
usvt,lbo,0.6323118027674368,2,26,5.197043370718908e-05,0,32
usvt,lbo,0.5462047471421371,10,14,5.197043370718908e-05,0,32
usvt,lbo,0.35414225133415866,28,25,5.197043370718908e-05,0,32
usvt,lbo,0.5705795011700038,26,2,5.197043370718908e-05,0,32
usvt,lbo,0.29914799512164103,26,29,5.197043370718908e-05,0,32
usvt,lbo,0.5849306799558742,23,14,5.197043370718908e-05,0,32
usvt,lbo,0.48518844331489086,12,10,5.197043370718908e-05,0,32
usvt,lbo,1.0320256935245264,29,4,5.197043370718908e-05,0,32
usvt,lbo,0.6427534500348232,5,27,5.197043370718908e-05,0,32
usvt,lbo,0.8252762422905797,29,27,5.197043370718908e-05,0,32
usvt,lbo,0.39217939501331256,6,30,5.197043370718908e-05,0,32
usvt,lbo,0.6018627614317174,8,12,5.197043370718908e-05,0,32
usvt,lbo,0.8793405307398119,28,1,5.197043370718908e-05,0,32
usvt,lbo,0.40537900332079746,5,29,5.197043370718908e-05,0,32
usvt,lbo,0.7007384577791628,25,14,5.197043370718908e-05,0,32
usvt,lbo,0.6019698452932011,5,26,5.197043370718908e-05,0,32
usvt,lbo,0.34782452430269967,31,16,5.197043370718908e-05,0,32
usvt,lbo,0.7644993668332716,20,14,5.197043370718908e-05,0,32
usvt,lbo,0.40876364761092765,17,1,5.197043370718908e-05,0,32
usvt,lbo,0.13710600903779313,6,15,5.197043370718908e-05,0,32
usvt,lbo,0.777640173695335,0,17,5.197043370718908e-05,0,32
usvt,lbo,0.6405069399174375,16,11,5.197043370718908e-05,0,32
usvt,lbo,0.6534535798633528,20,7,5.197043370718908e-05,0,32
usvt,lbo,0.3529598815608292,3,23,5.197043370718908e-05,0,32
usvt,lbo,0.5674094936778747,15,23,5.197043370718908e-05,0,32
usvt,lbo,0.7481045740997128,27,27,5.197043370718908e-05,0,32
usvt,lbo,0.4978889408041973,19,1,5.197043370718908e-05,0,32
usvt,lbo,0.4935495167661143,20,20,5.197043370718908e-05,0,32
usvt,lbo,0.833114791192664,20,0,5.197043370718908e-05,0,32
usvt,lbo,0.47372829128889615,9,23,5.197043370718908e-05,0,32
usvt,lbo,0.7545114287691265,16,26,5.197043370718908e-05,0,32
usvt,lbo,0.7541949871734019,27,6,5.197043370718908e-05,0,32
usvt,lbo,0.060478448418016334,48,12,3.878843216668992e-06,0,64
usvt,lbo,0.04773029694648687,56,63,3.878843216668992e-06,0,64
usvt,lbo,0.032944493002148495,28,60,3.878843216668992e-06,0,64
usvt,lbo,0.03009513686425139,21,1,3.878843216668992e-06,0,64
usvt,lbo,0.16407296698439158,51,52,3.878843216668992e-06,0,64
usvt,lbo,0.07478482904476078,18,9,3.878843216668992e-06,0,64
usvt,lbo,0.10776701473160663,56,2,3.878843216668992e-06,0,64
usvt,lbo,0.3169609070351632,55,11,3.878843216668992e-06,0,64
usvt,lbo,0.07142108124989852,26,45,3.878843216668992e-06,0,64
usvt,lbo,0.1386255516908073,15,56,3.878843216668992e-06,0,64
usvt,lbo,0.12308587374610745,6,14,3.878843216668992e-06,0,64
usvt,lbo,0.10701401399425026,11,22,3.878843216668992e-06,0,64
usvt,lbo,0.12539593877140348,29,62,3.878843216668992e-06,0,64
usvt,lbo,0.06614164377167871,36,23,3.878843216668992e-06,0,64
usvt,lbo,0.23978794915643015,36,28,3.878843216668992e-06,0,64
usvt,lbo,3.3453216169838235e-05,13,40,3.878843216668992e-06,0,64
usvt,lbo,0.08483201807369493,60,15,3.878843216668992e-06,0,64
usvt,lbo,0.2941049273215953,6,42,3.878843216668992e-06,0,64
usvt,lbo,0.11373179803261356,58,51,3.878843216668992e-06,0,64
usvt,lbo,0.13995905563285907,26,6,3.878843216668992e-06,0,64
usvt,lbo,0.10835104078631036,52,25,3.878843216668992e-06,0,64
usvt,lbo,0.014951271908797355,40,3,3.878843216668992e-06,0,64
usvt,lbo,0.13059200099404075,55,23,3.878843216668992e-06,0,64
usvt,lbo,0.31495051503181204,14,7,3.878843216668992e-06,0,64
usvt,lbo,0.32220504797955624,5,62,3.878843216668992e-06,0,64
usvt,lbo,0.14702945364525552,30,50,3.878843216668992e-06,0,64
usvt,lbo,0.2997110908659398,49,55,3.878843216668992e-06,0,64
usvt,lbo,0.347762179445745,59,62,3.878843216668992e-06,0,64
usvt,lbo,0.2749614834518841,20,1,3.878843216668992e-06,0,64
usvt,lbo,0.1450245296325453,60,22,3.878843216668992e-06,0,64
usvt,lbo,0.06785988263985782,44,60,3.878843216668992e-06,0,64
usvt,lbo,0.18200036790782195,52,14,3.878843216668992e-06,0,64
usvt,lbo,0.09651801702866812,43,21,3.878843216668992e-06,0,64
usvt,lbo,0.05893958592589167,53,18,3.878843216668992e-06,0,64
usvt,lbo,0.14286847375961637,57,49,3.878843216668992e-06,0,64
usvt,lbo,0.017313145802969474,38,26,3.878843216668992e-06,0,64
usvt,lbo,0.07365522124758998,44,31,3.878843216668992e-06,0,64
usvt,lbo,0.059660692168469726,57,37,3.878843216668992e-06,0,64
usvt,lbo,0.02221227733795983,13,62,3.878843216668992e-06,0,64
usvt,lbo,0.11782422393407606,39,27,3.878843216668992e-06,0,64
usvt,lbo,0.11139064654170969,45,58,3.878843216668992e-06,0,64
usvt,lbo,0.051223650461080614,57,31,3.878843216668992e-06,0,64
usvt,lbo,0.3308507383826265,22,41,3.878843216668992e-06,0,64
usvt,lbo,0.058608003126072,2,58,3.878843216668992e-06,0,64
usvt,lbo,0.0731261371114795,39,31,3.878843216668992e-06,0,64
usvt,lbo,0.09664193302584946,60,19,3.878843216668992e-06,0,64
usvt,lbo,0.05067230877273245,7,38,3.878843216668992e-06,0,64
usvt,lbo,0.03842841362089988,7,30,3.878843216668992e-06,0,64
usvt,lbo,0.26290614895175124,47,8,3.878843216668992e-06,0,64
usvt,lbo,0.0027840003755009463,1,46,3.878843216668992e-06,0,64
usvt,lbo,0.026326915708635205,6,40,3.878843216668992e-06,0,64
usvt,lbo,0.14290961300337118,29,63,3.878843216668992e-06,0,64
usvt,lbo,0.019852530497452094,15,6,3.878843216668992e-06,0,64
usvt,lbo,0.05612197338886235,27,30,3.878843216668992e-06,0,64
usvt,lbo,0.1503787887266352,39,0,3.878843216668992e-06,0,64
usvt,lbo,0.30756602138873346,4,61,3.878843216668992e-06,0,64
usvt,lbo,0.06838082979430425,16,29,3.878843216668992e-06,0,64
usvt,lbo,0.06075429032605842,8,1,3.878843216668992e-06,0,64
usvt,lbo,0.131255481607193,23,35,3.878843216668992e-06,0,64
usvt,lbo,0.10080339042779231,58,21,3.878843216668992e-06,0,64
usvt,lbo,0.21496021541679225,5,27,3.878843216668992e-06,0,64
usvt,lbo,0.33522187172709256,36,61,3.878843216668992e-06,0,64
usvt,lbo,0.0123183163368151,38,14,3.878843216668992e-06,0,64
usvt,lbo,0.2393549651194251,23,8,3.878843216668992e-06,0,64
usvt,lbo,0.07705957071324374,57,9,3.878843216668992e-06,0,64
usvt,lbo,0.07162924200462713,44,48,3.878843216668992e-06,0,64
usvt,lbo,0.20801206942784417,6,62,3.878843216668992e-06,0,64
usvt,lbo,0.1790472100908721,36,22,3.878843216668992e-06,0,64
usvt,lbo,0.1318918095576928,46,45,3.878843216668992e-06,0,64
usvt,lbo,0.08699992227314042,54,39,3.878843216668992e-06,0,64
usvt,lbo,0.05024653426066743,60,21,3.878843216668992e-06,0,64
usvt,lbo,0.12248835534172833,59,40,3.878843216668992e-06,0,64
usvt,lbo,0.21499513074031076,63,51,3.878843216668992e-06,0,64
usvt,lbo,0.13729520107906795,62,38,3.878843216668992e-06,0,64
usvt,lbo,0.09156210149983599,22,26,3.878843216668992e-06,0,64
usvt,lbo,0.11077379222988486,0,61,3.878843216668992e-06,0,64
usvt,lbo,0.2879450058543664,22,6,3.878843216668992e-06,0,64
usvt,lbo,0.09846944147198106,55,47,3.878843216668992e-06,0,64
usvt,lbo,0.017265937120081266,17,28,3.878843216668992e-06,0,64
usvt,lbo,0.03914855757395309,34,23,3.878843216668992e-06,0,64
usvt,lbo,0.04440806616784509,12,20,3.878843216668992e-06,0,64
usvt,lbo,0.005237530773309679,23,21,3.878843216668992e-06,0,64
usvt,lbo,0.1933458655422924,2,16,3.878843216668992e-06,0,64
usvt,lbo,0.04104775369623424,2,18,3.878843216668992e-06,0,64
usvt,lbo,0.003709048624429603,6,10,3.878843216668992e-06,0,64
usvt,lbo,0.5268381387082675,22,5,3.878843216668992e-06,0,64
usvt,lbo,0.07791540685002095,31,41,3.878843216668992e-06,0,64
usvt,lbo,0.0434660628031893,7,43,3.878843216668992e-06,0,64
usvt,lbo,0.060373152093450025,31,2,3.878843216668992e-06,0,64
usvt,lbo,0.11278578315167104,9,14,3.878843216668992e-06,0,64
usvt,lbo,0.34238662919155505,6,6,3.878843216668992e-06,0,64
usvt,lbo,0.0490041009141137,1,43,3.878843216668992e-06,0,64
usvt,lbo,0.16972502999789024,26,19,3.878843216668992e-06,0,64
usvt,lbo,0.34775431025101017,59,24,3.878843216668992e-06,0,64
usvt,lbo,0.11261548845016504,16,40,3.878843216668992e-06,0,64
usvt,lbo,0.06621904387203373,9,43,3.878843216668992e-06,0,64
usvt,lbo,0.2584475720859798,24,62,3.878843216668992e-06,0,64
usvt,lbo,0.00023852543967217525,50,60,3.878843216668992e-06,0,64
usvt,lbo,0.044978436022475386,50,25,3.878843216668992e-06,0,64
usvt,lbo,0.014928130859717559,36,5,3.878843216668992e-06,0,64
usvt,lbo,0.1556905222069366,35,16,3.878843216668992e-06,0,64
usvt,lbo,0.4135653368339178,52,21,3.878843216668992e-06,0,64
usvt,lbo,0.018214704148633958,5,29,3.878843216668992e-06,0,64
usvt,lbo,0.08026912807413306,2,31,3.878843216668992e-06,0,64
usvt,lbo,0.08519430488893488,61,46,3.878843216668992e-06,0,64
usvt,lbo,0.022969620120836205,21,36,3.878843216668992e-06,0,64
usvt,lbo,0.26620328287253037,46,1,3.878843216668992e-06,0,64
usvt,lbo,0.13216136800700506,12,37,3.878843216668992e-06,0,64
usvt,lbo,0.09116484193190118,33,38,3.878843216668992e-06,0,64
usvt,lbo,0.24641419602358572,14,50,3.878843216668992e-06,0,64
usvt,lbo,0.30335576720365187,55,52,3.878843216668992e-06,0,64
usvt,lbo,0.020447596760587126,26,37,3.878843216668992e-06,0,64
usvt,lbo,0.32020586494517017,22,19,3.878843216668992e-06,0,64
usvt,lbo,0.009502556543560527,5,56,3.878843216668992e-06,0,64
usvt,lbo,0.11013004873257845,7,2,3.878843216668992e-06,0,64
usvt,lbo,0.1416203147335954,58,54,3.878843216668992e-06,0,64
usvt,lbo,0.17305780409864507,62,58,3.878843216668992e-06,0,64
usvt,lbo,0.16099943130322597,54,28,3.878843216668992e-06,0,64
usvt,lbo,0.06670467236442096,33,15,3.878843216668992e-06,0,64
usvt,lbo,0.17531196388745912,58,24,3.878843216668992e-06,0,64
usvt,lbo,0.09840486444007238,16,1,3.878843216668992e-06,0,64
usvt,lbo,0.06525894304354267,36,32,3.878843216668992e-06,0,64
usvt,lbo,0.009927290075281297,12,36,3.878843216668992e-06,0,64
usvt,lbo,0.14965673521953887,7,5,3.878843216668992e-06,0,64
usvt,lbo,0.18720664213081484,53,11,3.878843216668992e-06,0,64
usvt,lbo,0.0013137402792678578,40,42,3.878843216668992e-06,0,64
usvt,lbo,0.05730583428798677,23,34,3.878843216668992e-06,0,64
usvt,lbo,0.019109942728952018,59,37,3.878843216668992e-06,0,64
usvt,lbo,0.08411589589838854,37,3,3.878843216668992e-06,0,64
usvt,lbo,0.09998420205795068,51,44,3.878843216668992e-06,0,64
usvt,lbo,0.08941911021497302,48,26,3.878843216668992e-06,0,64
usvt,lbo,0.035434495505147164,9,49,3.878843216668992e-06,0,64
usvt,lbo,0.004761982332402369,37,46,3.878843216668992e-06,0,64
usvt,lbo,0.026551136242348148,41,22,3.878843216668992e-06,0,64
usvt,lbo,0.0498833738269254,38,15,3.878843216668992e-06,0,64
usvt,lbo,0.30273207207710223,56,21,3.878843216668992e-06,0,64
usvt,lbo,0.09080382997554139,27,21,3.878843216668992e-06,0,64
usvt,lbo,0.32161996369438844,22,49,3.878843216668992e-06,0,64
usvt,lbo,0.25345591158088354,26,28,3.878843216668992e-06,0,64
usvt,lbo,0.08790147395395255,22,58,3.878843216668992e-06,0,64
usvt,lbo,0.07939483215703531,32,29,3.878843216668992e-06,0,64
usvt,lbo,0.024118990751519923,42,3,3.878843216668992e-06,0,64
usvt,lbo,0.1305100649928297,59,10,3.878843216668992e-06,0,64
usvt,lbo,0.39451338530936897,3,19,3.878843216668992e-06,0,64
usvt,lbo,0.0727333017215426,44,19,3.878843216668992e-06,0,64
usvt,lbo,0.24460630568956865,0,41,3.878843216668992e-06,0,64
usvt,lbo,0.12048360951443193,56,45,3.878843216668992e-06,0,64
usvt,lbo,0.04249492067746193,63,45,3.878843216668992e-06,0,64
usvt,lbo,0.002756779260761332,60,58,3.878843216668992e-06,0,64
usvt,lbo,0.13480854989311863,58,17,3.878843216668992e-06,0,64
usvt,lbo,0.3359704590481402,52,41,3.878843216668992e-06,0,64
usvt,lbo,0.05365336101383977,9,0,3.878843216668992e-06,0,64
usvt,lbo,0.020722302997826014,63,59,3.878843216668992e-06,0,64
usvt,lbo,0.29634183685783,62,1,3.878843216668992e-06,0,64
usvt,lbo,0.5460085929051256,14,38,3.878843216668992e-06,0,64
usvt,lbo,0.08193474053681621,28,22,3.878843216668992e-06,0,64
usvt,lbo,0.03418108381096763,58,59,3.878843216668992e-06,0,64
usvt,lbo,0.08647864884637388,32,1,3.878843216668992e-06,0,64
usvt,lbo,0.14216174494740047,41,10,3.878843216668992e-06,0,64
usvt,lbo,0.09090228119539122,36,7,3.878843216668992e-06,0,64
usvt,lbo,0.046428008528335465,54,47,3.878843216668992e-06,0,64
usvt,lbo,0.03209958758135138,40,56,3.878843216668992e-06,0,64
usvt,lbo,0.22524146866539396,25,52,3.878843216668992e-06,0,64
usvt,lbo,0.09397016952384434,45,53,3.878843216668992e-06,0,64
usvt,lbo,0.07309424414558555,5,30,3.878843216668992e-06,0,64
usvt,lbo,0.36253957487446364,43,29,3.878843216668992e-06,0,64
usvt,lbo,0.07549575169180991,21,19,3.878843216668992e-06,0,64
usvt,lbo,0.03817757951300059,29,39,3.878843216668992e-06,0,64
usvt,lbo,0.14276868847937643,24,56,3.878843216668992e-06,0,64
usvt,lbo,0.0927782090882439,0,31,3.878843216668992e-06,0,64
usvt,lbo,0.06471129721757726,40,46,3.878843216668992e-06,0,64
usvt,lbo,0.023993767838061647,42,39,3.878843216668992e-06,0,64
usvt,lbo,0.1024247459974259,30,7,3.878843216668992e-06,0,64
usvt,lbo,0.02007419971760252,50,26,3.878843216668992e-06,0,64
usvt,lbo,0.02972055885189936,21,32,3.878843216668992e-06,0,64
usvt,lbo,0.34033528917006295,56,18,3.878843216668992e-06,0,64
usvt,lbo,0.011678563264330918,4,21,3.878843216668992e-06,0,64
usvt,lbo,0.34710039700833534,12,31,3.878843216668992e-06,0,64
usvt,lbo,0.3190243748800611,52,35,3.878843216668992e-06,0,64
usvt,lbo,0.16405041405589824,36,42,3.878843216668992e-06,0,64
usvt,lbo,0.18565525924424064,55,25,3.878843216668992e-06,0,64
usvt,lbo,0.09852107386154077,11,38,3.878843216668992e-06,0,64
usvt,lbo,0.04105262632952005,25,61,3.878843216668992e-06,0,64
usvt,lbo,0.3048081529319192,9,16,3.878843216668992e-06,0,64
usvt,lbo,0.02533819773372262,2,10,3.878843216668992e-06,0,64
usvt,lbo,0.04931251342327152,33,37,3.878843216668992e-06,0,64
usvt,lbo,0.19827383797155196,48,15,3.878843216668992e-06,0,64
usvt,lbo,0.12052117481076688,6,33,3.878843216668992e-06,0,64
usvt,lbo,0.3522114694298841,14,45,3.878843216668992e-06,0,64
usvt,lbo,0.12513662478940346,13,19,3.878843216668992e-06,0,64
usvt,lbo,0.10109763349900629,63,47,3.878843216668992e-06,0,64
usvt,lbo,0.07723935631431478,0,58,3.878843216668992e-06,0,64
usvt,lbo,0.045969542420474914,21,51,3.878843216668992e-06,0,64
usvt,lbo,0.21874755500761167,0,43,3.878843216668992e-06,0,64
usvt,lbo,0.00849839575326275,14,41,3.878843216668992e-06,0,64
usvt,lbo,0.08395751363710816,10,54,3.878843216668992e-06,0,64
usvt,lbo,0.01516504451754812,7,45,3.878843216668992e-06,0,64
usvt,lbo,0.22716348850577528,19,17,3.878843216668992e-06,0,64
usvt,lbo,0.4120323582445555,31,19,3.878843216668992e-06,0,64
usvt,lbo,0.21068985736841367,0,1,3.878843216668992e-06,0,64
usvt,lbo,0.004424299498982591,9,63,3.878843216668992e-06,0,64
usvt,lbo,0.30074326736871565,44,17,3.878843216668992e-06,0,64
usvt,lbo,0.026327085226811393,54,19,3.878843216668992e-06,0,64
usvt,lbo,0.01543679380747615,42,2,3.878843216668992e-06,0,64
usvt,lbo,0.15654401066998566,12,49,3.878843216668992e-06,0,64
usvt,lbo,0.3064781807887235,43,30,3.878843216668992e-06,0,64
usvt,lbo,0.24832709256527422,43,24,3.878843216668992e-06,0,64
usvt,lbo,0.22101766402000175,15,63,3.878843216668992e-06,0,64
usvt,lbo,0.004588117536084388,8,47,3.878843216668992e-06,0,64
usvt,lbo,0.15118580743008664,25,56,3.878843216668992e-06,0,64
usvt,lbo,0.007846789421429537,38,39,3.878843216668992e-06,0,64
usvt,lbo,0.23717204720833968,34,61,3.878843216668992e-06,0,64
usvt,lbo,0.33601063809694137,41,42,3.878843216668992e-06,0,64
usvt,lbo,0.033178349971536666,8,42,3.878843216668992e-06,0,64
usvt,lbo,0.18198005082074456,10,30,3.878843216668992e-06,0,64
usvt,lbo,0.03892311609505093,56,33,3.878843216668992e-06,0,64
usvt,lbo,0.036839620097764175,14,22,3.878843216668992e-06,0,64
usvt,lbo,0.20484421387693852,59,0,3.878843216668992e-06,0,64
usvt,lbo,0.3076188120927894,22,37,3.878843216668992e-06,0,64
usvt,lbo,0.0756993680696703,9,48,3.878843216668992e-06,0,64
usvt,lbo,0.11757089616020741,62,56,3.878843216668992e-06,0,64
usvt,lbo,0.11932915110534636,6,56,3.878843216668992e-06,0,64
usvt,lbo,0.0054575013338312856,19,23,3.878843216668992e-06,0,64
usvt,lbo,0.2363396976568192,60,38,3.878843216668992e-06,0,64
usvt,lbo,0.13587746879470758,41,44,3.878843216668992e-06,0,64
usvt,lbo,0.0543053930283152,3,55,3.878843216668992e-06,0,64
usvt,lbo,0.12011651111439792,34,56,3.878843216668992e-06,0,64
usvt,lbo,0.02976991742679181,62,45,3.878843216668992e-06,0,64
usvt,lbo,0.017391863433179243,57,4,3.878843216668992e-06,0,64
usvt,lbo,0.09922414747143044,11,50,3.878843216668992e-06,0,64
usvt,lbo,0.06545597673197172,36,38,3.878843216668992e-06,0,64
usvt,lbo,0.010130182233562275,14,52,3.878843216668992e-06,0,64
usvt,lbo,0.05717357239165066,24,36,3.878843216668992e-06,0,64
usvt,lbo,0.0744374983531991,50,3,3.878843216668992e-06,0,64
usvt,lbo,0.17890921617070132,43,38,3.878843216668992e-06,0,64
usvt,lbo,0.15137029455521164,3,48,3.878843216668992e-06,0,64
usvt,lbo,0.2042953065981233,41,0,3.878843216668992e-06,0,64
usvt,lbo,0.21734130600332027,0,24,3.878843216668992e-06,0,64
usvt,lbo,0.11664872735312434,43,28,3.878843216668992e-06,0,64
usvt,lbo,0.04233971450443602,14,44,3.878843216668992e-06,0,64
usvt,lbo,0.08611343987020266,39,45,3.878843216668992e-06,0,64
usvt,lbo,0.00039175117472996235,32,33,3.878843216668992e-06,0,64
usvt,lbo,0.17800273710443046,40,14,3.878843216668992e-06,0,64
usvt,lbo,0.1198329839566151,16,0,3.878843216668992e-06,0,64
usvt,lbo,0.12675352468670692,56,57,3.878843216668992e-06,0,64
usvt,lbo,0.19255943417079271,27,32,3.878843216668992e-06,0,64
usvt,lbo,0.005873568174887756,53,7,3.878843216668992e-06,0,64
usvt,lbo,0.10476958405502464,8,30,3.878843216668992e-06,0,64
usvt,lbo,0.16008328390320523,38,34,3.878843216668992e-06,0,64
usvt,lbo,0.1373177112808313,62,51,3.878843216668992e-06,0,64
usvt,lbo,0.1825867687913548,58,41,3.878843216668992e-06,0,64
usvt,lbo,0.127035545343142,27,35,3.878843216668992e-06,0,64
usvt,lbo,0.19076219015819657,60,29,3.878843216668992e-06,0,64
usvt,lbo,0.02951756579912796,2,35,3.878843216668992e-06,0,64
usvt,lbo,0.19666909179716102,9,10,3.878843216668992e-06,0,64
usvt,lbo,0.1026522764904825,39,56,3.878843216668992e-06,0,64
usvt,lbo,0.22294801801825637,54,24,3.878843216668992e-06,0,64
usvt,lbo,0.017952714192904833,12,60,3.878843216668992e-06,0,64
usvt,lbo,0.028628224266339604,28,33,3.878843216668992e-06,0,64
usvt,lbo,0.056911732437006105,3,57,3.878843216668992e-06,0,64
usvt,lbo,0.0451774665499765,53,51,3.878843216668992e-06,0,64
